"from","to","number"
"org.jkiss.dbeaver.DBException","org.jkiss.dbeaver.model.DBPDataSource",1
"org.jkiss.dbeaver.DBException","org.jkiss.dbeaver.model.sql.SQLUtils",1
"org.jkiss.dbeaver.Log","org.jkiss.dbeaver.utils.GeneralUtils",1
"org.jkiss.dbeaver.ModelPreferences","org.jkiss.dbeaver.utils.GeneralUtils",1
"org.jkiss.dbeaver.debug.core.DebugUtils","org.jkiss.dbeaver.debug.core.model.DatabaseStackFrame",1
"org.jkiss.dbeaver.erd.ui.action.DiagramTogglePersistAction","org.jkiss.dbeaver.erd.ui.editor.ERDEditorEmbedded",1
"org.jkiss.dbeaver.erd.ui.command.AttributeCheckCommand","org.jkiss.dbeaver.erd.ui.part.AttributePart",1
"org.jkiss.dbeaver.erd.ui.command.EntityAddCommand","org.jkiss.dbeaver.erd.ui.part.DiagramPart",1
"org.jkiss.dbeaver.erd.ui.command.EntityRemoveCommand","org.jkiss.dbeaver.erd.ui.part.DiagramPart",1
"org.jkiss.dbeaver.erd.ui.dnd.NodeDropTargetListener","org.jkiss.dbeaver.erd.ui.editor.ERDEditorPart",1
"org.jkiss.dbeaver.erd.ui.editor.ERDEditorPart","org.jkiss.dbeaver.erd.ui.editor.tools.ChangeZOrderAction",1
"org.jkiss.dbeaver.erd.ui.editor.ERDEditorPart","org.jkiss.dbeaver.erd.ui.editor.tools.ResetPartColorAction",1
"org.jkiss.dbeaver.erd.ui.editor.ERDEditorPart","org.jkiss.dbeaver.erd.ui.editor.tools.SetPartColorAction",1
"org.jkiss.dbeaver.erd.ui.editor.ERDEditorPart","org.jkiss.dbeaver.erd.ui.editor.tools.SetPartSettingsAction",1
"org.jkiss.dbeaver.erd.ui.editor.ERDGraphicalViewer","org.jkiss.dbeaver.erd.ui.part.EntityPart",1
"org.jkiss.dbeaver.erd.ui.figures.AttributeItemFigure","org.jkiss.dbeaver.erd.ui.part.AttributePart",1
"org.jkiss.dbeaver.erd.ui.figures.EntityDiagramFigure","org.jkiss.dbeaver.erd.ui.part.DiagramPart",1
"org.jkiss.dbeaver.erd.ui.figures.EntityFigure","org.jkiss.dbeaver.erd.ui.part.EntityPart",1
"org.jkiss.dbeaver.erd.ui.layout.DelegatingLayoutManager","org.jkiss.dbeaver.erd.ui.part.DiagramPart",1
"org.jkiss.dbeaver.erd.ui.layout.GraphLayoutAuto","org.jkiss.dbeaver.erd.ui.part.DiagramPart",1
"org.jkiss.dbeaver.erd.ui.part.AssociationPart","org.jkiss.dbeaver.erd.ui.policy.AssociationBendEditPolicy",1
"org.jkiss.dbeaver.erd.ui.part.AssociationPart","org.jkiss.dbeaver.erd.ui.policy.AssociationEditPolicy",1
"org.jkiss.dbeaver.erd.ui.part.AttributePart","org.jkiss.dbeaver.erd.ui.policy.AttributeConnectionEditPolicy",1
"org.jkiss.dbeaver.erd.ui.part.AttributePart","org.jkiss.dbeaver.erd.ui.policy.AttributeDragAndDropEditPolicy",1
"org.jkiss.dbeaver.erd.ui.part.DiagramPart","org.jkiss.dbeaver.erd.ui.policy.DiagramContainerEditPolicy",1
"org.jkiss.dbeaver.erd.ui.part.EntityPart","org.jkiss.dbeaver.erd.ui.policy.EntityEditPolicy",1
"org.jkiss.dbeaver.erd.ui.part.NotePart","org.jkiss.dbeaver.erd.ui.policy.NoteDirectEditPolicy",1
"org.jkiss.dbeaver.erd.ui.part.NotePart","org.jkiss.dbeaver.erd.ui.policy.NoteEditPolicy",1
"org.jkiss.dbeaver.ext.db2.editors.DB2ColumnDataTypeListProvider","org.jkiss.dbeaver.ext.db2.model.DB2TableColumn",1
"org.jkiss.dbeaver.ext.db2.editors.DB2TableTablespaceListProvider","org.jkiss.dbeaver.ext.db2.model.DB2Table",1
"org.jkiss.dbeaver.ext.db2.info.DB2Parameter","org.jkiss.dbeaver.ext.db2.model.DB2DataSource",1
"org.jkiss.dbeaver.ext.db2.info.DB2XMLString","org.jkiss.dbeaver.ext.db2.model.DB2DataSource",1
"org.jkiss.dbeaver.ext.db2.model.DB2DataSource","org.jkiss.dbeaver.ext.db2.model.app.DB2ServerApplicationManager",1
"org.jkiss.dbeaver.ext.db2.model.DB2DataSource","org.jkiss.dbeaver.ext.db2.model.fed.DB2RemoteServer",1
"org.jkiss.dbeaver.ext.db2.model.DB2DataSource","org.jkiss.dbeaver.ext.db2.model.fed.DB2UserMapping",1
"org.jkiss.dbeaver.ext.db2.model.DB2DataSource","org.jkiss.dbeaver.ext.db2.model.fed.DB2Wrapper",1
"org.jkiss.dbeaver.ext.db2.model.DB2DataSource","org.jkiss.dbeaver.ext.db2.model.security.DB2Grantee",1
"org.jkiss.dbeaver.ext.db2.model.DB2DataSource","org.jkiss.dbeaver.ext.db2.model.security.DB2GranteeCache",1
"org.jkiss.dbeaver.ext.db2.model.DB2DataSource","org.jkiss.dbeaver.ext.db2.model.security.DB2Role",1
"org.jkiss.dbeaver.ext.db2.model.DB2Routine","org.jkiss.dbeaver.ext.db2.model.cache.DB2RoutineParmsCache",1
"org.jkiss.dbeaver.ext.db2.model.DB2Schema","org.jkiss.dbeaver.ext.db2.model.fed.DB2Nickname",1
"org.jkiss.dbeaver.ext.db2.model.DB2Table","org.jkiss.dbeaver.ext.db2.model.cache.DB2TableTriggerCache",1
"org.jkiss.dbeaver.ext.db2.model.DB2TableBase","org.jkiss.dbeaver.ext.db2.model.cache.DB2TableIndexCache",1
