"namespace","noc","nac"
"org.jkiss.dbeaver.ext.oracle.model",83,13
"org.jkiss.dbeaver.ext.postgresql.model",83,15
"org.jkiss.dbeaver.model",75,58
"org.jkiss.dbeaver.ui",71,32
"org.jkiss.dbeaver.ui.controls.resultset",59,24
"org.jkiss.dbeaver.model.data",57,41
"org.jkiss.dbeaver.ui.controls",53,7
"org.jkiss.dbeaver.ext.db2.model.dict",53,0
"org.jkiss.dbeaver.model.struct",50,42
"org.jkiss.dbeaver.registry",47,4
"org.jkiss.dbeaver.ui.editors",44,19
"org.jkiss.dbeaver.ui.navigator.actions",44,5
"org.jkiss.dbeaver.ext.db2.model",43,5
"org.jkiss.dbeaver.ext.generic.model",41,8
"org.jkiss.dbeaver.ext.mssql.model",40,5
"org.jkiss.dbeaver.ext.mysql.model",38,4
"org.jkiss.dbeaver.model.exec",35,26
"org.jkiss.dbeaver.ui.editors.sql",34,9
"org.jkiss.dbeaver.ext.exasol.model",33,2
"org.jkiss.dbeaver.ui.dialogs.connection",31,5
"org.jkiss.dbeaver.ext.db2.model.security",31,3
"org.jkiss.dbeaver.model.sql",30,11
"org.jkiss.dbeaver.model.runtime",29,16
"org.jkiss.dbeaver.model.struct.rdb",27,21
"org.jkiss.dbeaver.ui.dialogs",27,6
"org.jkiss.dbeaver.ui.actions.datasource",26,3
"org.jkiss.dbeaver.ext.postgresql.tasks",26,2
"org.jkiss.dbeaver.ext.db2.manager",25,1
"org.jkiss.dbeaver.ui.editors.sql.handlers",25,0
"org.jkiss.dbeaver.model.edit",24,24
"org.jkiss.dbeaver.model.task",23,17
"org.jkiss.utils",21,4
"org.jkiss.dbeaver.ui.preferences",21,2
"org.jkiss.dbeaver.ext.postgresql.edit",21,1
"org.jkiss.dbeaver.model.impl",21,8
"org.jkiss.dbeaver.model.navigator",21,8
"org.jkiss.dbeaver.erd.model",20,5
"org.jkiss.dbeaver.model.connection",20,11
"org.jkiss.dbeaver.ext.db2.model.cache",19,0
"org.jkiss.dbeaver.ext.firebird.model",19,2
"org.jkiss.dbeaver.ext.mysql.tasks",19,3
"org.jkiss.dbeaver.ext.vertica.model",19,0
"org.jkiss.dbeaver.ext.wmi.model",19,3
"org.jkiss.dbeaver.model.app",19,19
"org.jkiss.dbeaver.ext.greenplum.model",18,0
"org.jkiss.dbeaver.registry.driver",18,1
"org.jkiss.dbeaver.ui.dashboard.view",18,1
"org.jkiss.dbeaver.ui.data.editors",18,3
"org.jkiss.dbeaver.ui.editors.sql.syntax",18,0
"org.jkiss.dbeaver.ui.editors.sql.templates",18,2
"org.jkiss.dbeaver.tools.transfer.stream",17,5
"org.jkiss.dbeaver.erd.ui.action",17,0
"org.jkiss.dbeaver.ext.exasol.ui.config",17,0
"org.jkiss.dbeaver.ext.mssql.edit",17,2
"org.jkiss.dbeaver.ext.oracle.data",17,1
"org.jkiss.dbeaver.model.impl.jdbc.data",17,3
"org.jkiss.dbeaver.model.impl.jdbc",17,4
"org.jkiss.dbeaver.ui.data.managers",17,4
"org.jkiss.dbeaver.ui.gis.panel",16,0
"org.jkiss.dbeaver.debug",16,12
"org.jkiss.dbeaver.ext.exasol.manager",16,0
"org.jkiss.dbeaver.ext.oracle.tasks",16,0
"org.jkiss.dbeaver.ext.postgresql.model.data",16,0
"org.jkiss.dbeaver.model.impl.data",16,8
"org.jkiss.dbeaver.model.impl.jdbc.exec",16,0
"org.jkiss.dbeaver.model.impl.struct",16,12
"org.jkiss.dbeaver.model.meta",16,4
"org.jkiss.dbeaver.model.virtual",16,3
"org.jkiss.dbeaver.erd.ui.command",15,1
"org.jkiss.dbeaver.erd.ui.editor",15,1
"org.jkiss.dbeaver.ext.hana.model",15,0
"org.jkiss.dbeaver.runtime",15,5
"org.jkiss.dbeaver.runtime.properties",15,6
"org.jkiss.dbeaver.ui.dashboard.model",15,6
"org.jkiss.dbeaver.ui.data",15,12
"org.jkiss.dbeaver.ui.navigator.database",15,1
"org.jkiss.dbeaver.tools.transfer",14,7
"org.jkiss.dbeaver.ext.oracle.edit",14,0
"org.jkiss.dbeaver.ext.sqlite.model",14,0
"org.jkiss.dbeaver.model.impl.data.formatters",14,0
"org.jkiss.dbeaver.model.impl.jdbc.data.handlers",14,2
"org.jkiss.dbeaver.model.qm",14,8
"org.jkiss.dbeaver.model.text.parser",14,9
"org.jkiss.dbeaver.ui.notifications",14,5
"org.jkiss.dbeaver.ui.dialogs.driver",14,1
"org.jkiss.dbeaver.ui.controls.lightgrid",14,6
"org.jkiss.dbeaver.ui.editors.entity",14,3
"org.jkiss.wmi.service",13,3
"org.jkiss.dbeaver.ext.exasol.model.security",13,1
"org.jkiss.dbeaver.ext.postgresql.ui.config",13,0
"org.jkiss.dbeaver.model.access",13,10
"org.jkiss.dbeaver.tasks.ui.view",13,2
"org.jkiss.dbeaver.ui.actions",12,2
"org.jkiss.dbeaver.erd.ui.policy",12,0
"org.jkiss.dbeaver.ext.db2.tasks",12,1
"org.jkiss.dbeaver.ext.mysql.ui.config",12,0
"org.jkiss.dbeaver.ext.oracle.ui.config",12,0
"org.jkiss.dbeaver.ext.postgresql.tools",12,1
"org.jkiss.dbeaver.lang",12,9
"org.jkiss.dbeaver.model.impl.data.transformers",12,0
"org.jkiss.dbeaver.model.sql.generator",12,4
"org.jkiss.dbeaver.model.sql.parser.rules",12,0
"org.jkiss.dbeaver.model.sql.parser.tokens",12,0
"org.jkiss.dbeaver.model.sql.registry",12,0
"org.jkiss.dbeaver.ui.controls.resultset.handler",12,0
"org.jkiss.dbeaver.ui.editors.binary",12,1
"org.jkiss.dbeaver.ui.navigator",12,4
"org.jkiss.dbeaver.tools.transfer.stream.exporter",11,1
"org.jkiss.dbeaver.debug.ui",11,5
"org.jkiss.dbeaver.erd.ui.model",11,4
"org.jkiss.dbeaver.ext.db2.model.plan",11,1
"org.jkiss.dbeaver.ext.mssql.model.generic",11,0
"org.jkiss.dbeaver.ext.mysql.edit",11,0
"org.jkiss.dbeaver.ext.postgresql.model.impls.redshift",11,0
"org.jkiss.dbeaver.model.data.aggregate",11,2
"org.jkiss.dbeaver.model.exec.plan",11,8
"org.jkiss.dbeaver.model.net.ssh",11,3
"org.jkiss.dbeaver.ui.app.standalone",11,1
"org.jkiss.dbeaver.ui.editors.object.struct",11,2
"org.jkiss.dbeaver.core",10,2
"org.jkiss.dbeaver.tools.transfer.database",10,1
"org.jkiss.dbeaver.debug.ui.internal",10,0
"org.jkiss.dbeaver.ext.mysql.tools",10,1
"org.jkiss.dbeaver.ext.postgresql.ui",10,0
"org.jkiss.dbeaver.model.impl.edit",10,4
"org.jkiss.dbeaver.model.impl.jdbc.cache",10,8
"org.jkiss.dbeaver.registry.task",10,0
"org.jkiss.dbeaver.tasks.ui.wizard",10,1
"org.jkiss.dbeaver.ui.editors.text",10,3
"org.jkiss.dbeaver.ui.data.managers.stream",10,0
"org.jkiss.dbeaver.ui.editors.xml",10,0
"org.jkiss.dbeaver.tools.project",9,0
"org.jkiss.dbeaver.erd.ui.editor.tools",9,0
"org.jkiss.dbeaver.erd.ui.part",9,4
"org.jkiss.dbeaver.ext.oracle.ui.editors",9,1
"org.jkiss.dbeaver.ext.postgresql.model.impls",9,1
"org.jkiss.dbeaver.ext.postgresql",9,0
"org.jkiss.dbeaver.ext.postgresql.debug.internal.impl",9,0
"org.jkiss.dbeaver.ext.ui.locks.graph",9,0
"org.jkiss.dbeaver.model.auth",9,7
"org.jkiss.dbeaver.model.impl.jdbc.struct",9,8
"org.jkiss.dbeaver.model.impl.sql",9,3
"org.jkiss.dbeaver.model.sql.parser",9,0
"org.jkiss.dbeaver.utils",9,1
"org.jkiss.dbeaver.registry.maven",9,1
"org.jkiss.dbeaver.ui.controls.folders",9,4
"org.jkiss.dbeaver.ui.editors.text.handlers",9,2
"org.jkiss.dbeaver.ui.controls.resultset.virtual",9,0
"org.jkiss.dbeaver.ui.editors.sql.dialogs",9,6
"org.jkiss.dbeaver.model.gis",8,3
"org.jkiss.dbeaver.debug.core.model",8,1
"org.jkiss.dbeaver.erd.ui.figures",8,0
"org.jkiss.dbeaver.ext.db2.model.fed",8,0
"org.jkiss.dbeaver.ext.hive.model",8,0
"org.jkiss.dbeaver.ext.mssql.ui.config",8,0
"org.jkiss.dbeaver.ext.mysql.model.plan",8,2
"org.jkiss.dbeaver.ext.postgresql.model.data.type",8,1
"org.jkiss.dbeaver.model.edit.prop",8,7
"org.jkiss.dbeaver.model.exec.jdbc",8,8
"org.jkiss.dbeaver.model.net",8,5
"org.jkiss.dbeaver.runtime.jobs",8,1
"org.jkiss.dbeaver.tasks.ui.nativetool",8,6
"org.jkiss.dbeaver.ui.dashboard.model.data",8,0
"org.jkiss.dbeaver.ui.editors.sql.preferences",8,0
"org.jkiss.utils.csv",7,0
"org.jkiss.dbeaver.tools.compare.simple",7,0
"org.jkiss.dbeaver.tools.transfer.ui.pages.database",7,1
"org.jkiss.dbeaver.erd.ui.navigator",7,0
"org.jkiss.dbeaver.ext.clickhouse.model",7,0
"org.jkiss.dbeaver.ext.db2.editors",7,2
"org.jkiss.dbeaver.ext.db2.ui.tools.maintenance",7,1
"org.jkiss.dbeaver.ext.exasol",7,0
"org.jkiss.dbeaver.ext.exasol.model.cache",7,0
"org.jkiss.dbeaver.ext.firebird.model.plan",7,0
"org.jkiss.dbeaver.ext.generic.edit",7,0
"org.jkiss.dbeaver.ext.mysql.ui.editors",7,1
"org.jkiss.dbeaver.ext.oceanbase.mysql.model",7,0
"org.jkiss.dbeaver.ext.oracle.ui.tools.maintenance",7,1
"org.jkiss.dbeaver.ext.postgresql.tools.maintenance",7,1
"org.jkiss.dbeaver.headless",7,0
"org.jkiss.dbeaver.lang.base",7,0
"org.jkiss.dbeaver.model.admin.sessions",7,7
"org.jkiss.dbeaver.model.navigator.meta",7,1
"org.jkiss.dbeaver.model.preferences",7,7
"org.jkiss.dbeaver.model.struct.cache",7,5
"org.jkiss.dbeaver.model.sql.format.tokenized",7,0
"org.jkiss.dbeaver.model.sql.task",7,5
"org.jkiss.dbeaver.tasks.nativetool",7,6
"org.jkiss.dbeaver.tasks.ui",7,2
"org.jkiss.dbeaver.team.git.ui.handlers",7,1
"org.jkiss.dbeaver.ui.editors.sql.indent",7,2
"org.jkiss.dbeaver.ui.navigator.dialogs",7,0
"org.jkiss.dbeaver.ui.search.data",7,0
"org.jkiss.utils.xml",6,1
"org.jkiss.dbeaver.tools.scripts",6,0
"org.jkiss.dbeaver.tools.transfer.stream.model",6,0
"org.jkiss.dbeaver.ext.db2.ui.config",6,0
"org.jkiss.dbeaver.ext.exasol.editors",6,2
"org.jkiss.dbeaver.ext.greenplum.edit",6,0
"org.jkiss.dbeaver.ext.hana.model.data.wkb",6,0
"org.jkiss.dbeaver.ext.mssql",6,0
"org.jkiss.dbeaver.ext.mssql.tasks",6,1
"org.jkiss.dbeaver.ext.postgresql.model.plan",6,1
"org.jkiss.dbeaver.model.impl.app",6,0
"org.jkiss.dbeaver.model.impl.net",6,0
"org.jkiss.dbeaver.model.impl.sql.edit.struct",6,6
"org.jkiss.dbeaver.model.qm.meta",6,1
"org.jkiss.dbeaver.model.text.parser.rules",6,0
"org.jkiss.dbeaver.registry.maven.versioning",6,2
"org.jkiss.dbeaver.ui.contentassist",6,0
"org.jkiss.dbeaver.ui.internal",6,0
"org.jkiss.dbeaver.ui.dashboard.control",6,2
"org.jkiss.dbeaver.ui.controls.resultset.colors",6,1
"org.jkiss.dbeaver.ui.controls.resultset.generator",6,1
"org.jkiss.dbeaver.ui.editors.content",6,1
"org.jkiss.dbeaver.ui.editors.data.preferences",6,0
"org.jkiss.dbeaver.ui.controls.imageview",6,0
"org.jkiss.dbeaver.ui.editors.sql.convert.impl",6,1
"org.jkiss.dbeaver.ui.editors.entity.handlers",6,0
"org.jkiss.dbeaver.ui.editors.entity.properties",6,0
"org.jkiss.dbeaver.ui.navigator.actions.links",6,2
"org.jkiss.dbeaver.ui.search.metadata",6,0
"org.jkiss.dbeaver.tools.compare.simple.ui",5,0
"org.jkiss.dbeaver.ui.resources.bookmarks",5,0
"org.jkiss.dbeaver.ui.gis",5,2
"org.jkiss.dbeaver.tasks.ui.sql.script",5,0
"org.jkiss.dbeaver.tools.transfer.ui.wizard",5,0
"org.jkiss.dbeaver.debug.sourcelookup",5,0
"org.jkiss.dbeaver.debug.ui.details",5,2
"org.jkiss.dbeaver.erd.ui",5,0
"org.jkiss.dbeaver.erd.ui.layout.algorithm.direct",5,0
"org.jkiss.dbeaver.ext.athena.model",5,0
"org.jkiss.dbeaver.ext.db2",5,0
"org.jkiss.dbeaver.ext.exasol.ui.tools",5,1
"org.jkiss.dbeaver.ext.format.sqlworkbenchj",5,0
"org.jkiss.dbeaver.ext.generic.model.meta",5,1
"org.jkiss.dbeaver.ext.hsqldb.model",5,0
"org.jkiss.dbeaver.ext.import_config.wizards",5,2
"org.jkiss.dbeaver.ext.import_config.wizards.navicat",5,0
"org.jkiss.dbeaver.ext.mysql.tools.maintenance",5,0
"org.jkiss.dbeaver.ext.oracle.ui.actions",5,1
"org.jkiss.dbeaver.ext.postgresql.tools.fdw",5,0
"org.jkiss.dbeaver.ext.snowflake.model",5,0
"org.jkiss.dbeaver.ext.vertica.edit",5,0
"org.jkiss.dbeaver.model.data.storage",5,0
"org.jkiss.dbeaver.model.impl.local",5,0
"org.jkiss.dbeaver.model.runtime.load",5,5
"org.jkiss.dbeaver.runtime.encode",5,1
"org.jkiss.dbeaver.runtime.qm",5,1
"org.jkiss.dbeaver.model.sql.completion",5,1
"org.jkiss.dbeaver.tasks.ui.sql",5,0
"org.jkiss.dbeaver.ui.controls.bool",5,1
"org.jkiss.dbeaver.ui.css",5,0
"org.jkiss.dbeaver.ui.controls.resultset.panel.grouping",5,1
"org.jkiss.dbeaver.ui.controls.resultset.spreadsheet",5,0
"org.jkiss.dbeaver.ui.data.dialogs",5,2
"org.jkiss.dbeaver.ui.editors.json",5,0
"org.jkiss.dbeaver.ui.editors.sql.registry",5,0
"org.jkiss.dbeaver.ui.editors.sql.util",5,1
"org.jkiss.dbeaver.ui.navigator.database.load",5,1
"org.jkiss.dbeaver.ext.test.tools",5,0
"org.jkiss.dbeaver.model.sql.analyzer.builder",5,1
"org.jkiss.dbeaver",4,1
"org.jkiss.dbeaver.ui.actions.common",4,0
"org.jkiss.dbeaver.ui.controls.txn",4,1
"org.jkiss.dbeaver.data.gis.handlers",4,0
"org.jkiss.dbeaver.tools.transfer.registry",4,0
"org.jkiss.dbeaver.tools.transfer.ui.registry",4,0
"org.jkiss.dbeaver.debug.core.breakpoints",4,2
"org.jkiss.dbeaver.debug.ui.actions",4,0
"org.jkiss.dbeaver.erd.ui.directedit",4,1
"org.jkiss.dbeaver.erd.ui.dnd",4,0
"org.jkiss.dbeaver.erd.ui.export",4,1
"org.jkiss.dbeaver.erd.ui.layout",4,0
"org.jkiss.dbeaver.ext.bigquery.model",4,0
"org.jkiss.dbeaver.ext.db2.data",4,0
"org.jkiss.dbeaver.ext.exasol.model.dict",4,0
"org.jkiss.dbeaver.ext.generic.views",4,0
"org.jkiss.dbeaver.ext.h2.model",4,0
"org.jkiss.dbeaver.ext.import_config.wizards.custom",4,0
"org.jkiss.dbeaver.ext.mssql.edit.generic",4,0
"org.jkiss.dbeaver.ext.mssql.ui",4,0
"org.jkiss.dbeaver.ext.mssql.ui.tools.maintenance",4,0
"org.jkiss.dbeaver.ext.mysql.data",4,0
"org.jkiss.dbeaver.ext.mysql",4,0
"org.jkiss.dbeaver.ext.ocient.model.plan",4,1
"org.jkiss.dbeaver.ext.oracle.model.dict",4,0
"org.jkiss.dbeaver.ext.oracle.model.session",4,0
"org.jkiss.dbeaver.ext.oracle.ui.tools",4,0
"org.jkiss.dbeaver.ext.postgresql.debug.internal",4,0
"org.jkiss.dbeaver.ext.postgresql.debug.ui.internal",4,0
"org.jkiss.dbeaver.ext.postgresql.ui.editors",4,0
