"metric","1stQ","3rdQ","avg","median","min","max","max-min","stddev","u-fence","threshold"
"SLOC",21.0,117.0,101.44857556735876,50.5,3.0,4060.0,4057.0,176.46387017245874,261.0,500.0
"NOM",2.0,10.0,9.212940608401738,5.0,0.0,267.0,267.0,14.773766229712226,22.0,14.0
"NPM",2.0,8.0,7.520038628681796,4.0,0.0,204.0,204.0,12.683342402678328,17.0,40.0
"WMC",3.0,19.0,18.29333655239015,8.0,1.0,871.0,870.0,38.60622998616015,43.0,100.0
"DEP",3.0,16.0,10.662240463544181,8.0,0.0,103.0,103.0,10.008235073790495,35.5,20.0
"I-DEP",1.0,9.0,5.819169483341381,4.0,0.0,52.0,52.0,5.99725427966697,21.0,15.0
"FAN-IN",0.0,3.0,6.518831482375664,1.0,0.0,1213.0,1213.0,41.08038201343752,7.5,10.0
"FAN-OUT",2.0,12.0,8.432641236117817,6.0,0.0,103.0,103.0,8.362280902310946,27.0,15.0
"NOA",0.0,5.0,4.940366972477064,2.0,0.0,449.0,449.0,14.854779657330576,12.5,8.0
"LCOM3",0.0,0.9,0.5098234970322757,0.6666666666666666,0.0,2.0,2.0,0.4635057405597573,2.25,1.0
