"type","dep","i-dep","fan-in","fan-out"
"org.jkiss.dbeaver.ui.controls.resultset.ResultSetViewer",94,50,26,90
"org.jkiss.dbeaver.ui.editors.sql.SQLEditor",103,52,28,103
"org.jkiss.dbeaver.ui.controls.lightgrid.LightGrid",24,12,2,30
"org.jkiss.dbeaver.ui.controls.resultset.spreadsheet.SpreadsheetPresentation",77,33,1,69
"org.jkiss.dbeaver.model.DBUtils",40,29,493,48
"org.jkiss.dbeaver.ui.UIUtils",64,17,538,31
"org.jkiss.dbeaver.ui.editors.binary.HexEditControl",24,5,6,23
"org.jkiss.dbeaver.model.impl.jdbc.exec.JDBCResultSetImpl",18,9,4,14
"org.jkiss.dbeaver.registry.DataSourceDescriptor",54,36,30,54
"org.jkiss.dbeaver.ext.oracle.model.OracleSchema",29,19,13,37
"org.jkiss.dbeaver.model.sql.completion.SQLCompletionAnalyzer",37,22,2,34
"org.jkiss.dbeaver.model.impl.jdbc.exec.JDBCDatabaseMetaDataImpl",8,3,2,6
"org.jkiss.dbeaver.registry.driver.DriverDescriptor",37,22,28,37
"org.jkiss.dbeaver.ui.navigator.itemlist.ObjectListControl",49,20,4,55
"org.jkiss.dbeaver.model.sql.SQLUtils",29,15,120,25
"org.jkiss.dbeaver.tools.transfer.ui.pages.database.DatabaseConsumerPageMapping",52,28,0,38
"org.jkiss.dbeaver.ui.properties.PropertyTreeViewer",50,19,16,42
"org.jkiss.dbeaver.ui.controls.querylog.QueryLogViewer",62,26,5,45
"org.jkiss.dbeaver.ui.editors.entity.EntityEditor",64,36,15,58
"org.jkiss.dbeaver.erd.ui.editor.ERDEditorPart",92,43,23,66
"org.jkiss.dbeaver.ext.postgresql.model.PostgreDatabase",30,21,34,50
"org.jkiss.dbeaver.ui.controls.resultset.ResultSetFilterPanel",56,27,1,44
"org.jkiss.dbeaver.model.impl.jdbc.exec.JDBCCallableStatementImpl",31,19,1,31
"org.jkiss.dbeaver.ext.ui.svg.GraphicsToGraphics2DAdaptor",18,0,1,17
"org.jkiss.dbeaver.ext.postgresql.model.PostgreSchema",35,23,31,44
"org.jkiss.dbeaver.registry.DataSourceSerializerModern",39,26,2,37
"org.jkiss.dbeaver.ext.mysql.model.MySQLCatalog",38,26,25,44
"org.jkiss.dbeaver.ui.controls.resultset.ResultSetPersister",27,16,1,28
"org.jkiss.dbeaver.ext.postgresql.model.PostgreDataType",29,18,22,30
"org.jkiss.dbeaver.ui.editors.object.struct.EditForeignKeyPage",39,17,12,28
"org.jkiss.dbeaver.ui.controls.resultset.ResultSetModel",23,14,3,20
"org.jkiss.dbeaver.ui.controls.CSmartCombo",15,3,8,9
"org.jkiss.dbeaver.ui.data.dialogs.ComplexObjectEditor",57,27,1,47
"org.jkiss.dbeaver.tasks.ui.view.DatabaseTasksTree",39,21,2,36
"org.jkiss.dbeaver.ext.oracle.model.OracleDataSource",39,24,18,47
"org.jkiss.dbeaver.model.impl.jdbc.exec.JDBCResultSetCallable",19,9,1,14
"org.jkiss.dbeaver.model.navigator.DBNDatabaseNode",29,20,92,39
"org.jkiss.dbeaver.ui.dialogs.driver.DriverEditDialog",43,25,6,33
"org.jkiss.utils.CommonUtils",5,0,1064,38
"org.jkiss.dbeaver.ext.mssql.model.SQLServerSchema",33,21,5,38
"org.jkiss.dbeaver.ext.generic.model.GenericDataSource",37,22,41,40
"org.jkiss.dbeaver.registry.DataSourceRegistry",34,21,15,29
"org.jkiss.dbeaver.ext.exasol.model.ExasolDataSource",47,33,29,48
"org.jkiss.dbeaver.ui.navigator.database.DatabaseNavigatorTree",54,24,18,38
"org.jkiss.dbeaver.model.exec.DBExecUtils",46,36,33,43
"org.jkiss.dbeaver.ext.postgresql.model.PostgreDialect",33,23,9,27
"org.jkiss.dbeaver.ui.editors.sql.execute.SQLQueryJob",49,28,1,34
"org.jkiss.dbeaver.ui.editors.binary.BinaryContent",10,1,3,21
"org.jkiss.dbeaver.ui.controls.CustomSashForm",12,0,5,3
"org.jkiss.dbeaver.ext.mysql.model.MySQLDataSource",46,31,16,45
"org.jkiss.dbeaver.ui.controls.ViewerColumnController",27,7,15,20
"org.jkiss.dbeaver.model.impl.jdbc.struct.JDBCTable",34,21,16,36
"org.jkiss.dbeaver.registry.DataSourceSerializerLegacy",35,25,2,37
"org.jkiss.dbeaver.model.impl.jdbc.JDBCUtils",23,14,344,27
"org.jkiss.dbeaver.tools.transfer.database.DatabaseTransferConsumer",31,24,8,34
"org.jkiss.dbeaver.ui.editors.sql.SQLEditorBase",59,25,27,35
"org.jkiss.dbeaver.model.impl.edit.AbstractCommandContext",11,8,3,17
"org.jkiss.dbeaver.model.impl.sql.AbstractSQLDialect",19,10,1,21
"org.jkiss.dbeaver.ui.controls.folders.TabbedFolderList",16,3,1,8
"org.jkiss.dbeaver.model.impl.jdbc.exec.JDBCStatementImpl",23,15,6,23
"org.jkiss.dbeaver.ext.generic.model.meta.GenericMetaModel",31,22,46,28
"org.jkiss.dbeaver.ext.postgresql.debug.internal.impl.PostgreDebugSession",32,22,1,36
"org.jkiss.dbeaver.ui.editors.entity.properties.ObjectPropertiesEditor",54,28,3,46
"org.jkiss.dbeaver.ui.controls.resultset.plaintext.PlainTextPresentation",45,11,0,23
"org.jkiss.dbeaver.utils.GeneralUtils",31,9,246,42
"org.jkiss.dbeaver.model.sql.parser.SQLScriptParser",22,12,3,15
"org.jkiss.dbeaver.tools.transfer.stream.StreamTransferConsumer",42,26,5,44
"org.jkiss.dbeaver.ext.postgresql.model.PostgreDataSource",44,27,26,44
"org.jkiss.dbeaver.ui.navigator.NavigatorUtils",54,34,74,42
"org.jkiss.dbeaver.model.navigator.DBNModel",30,18,18,26
"org.jkiss.dbeaver.model.impl.jdbc.exec.JDBCConnectionImpl",20,12,2,18
"org.jkiss.dbeaver.data.console.ConsoleTextPresentation",43,10,0,22
"org.jkiss.dbeaver.ui.editors.binary.dialogs.FindReplaceDialog",19,5,1,12
"org.jkiss.dbeaver.model.impl.jdbc.JDBCDataSource",35,25,43,50
"org.jkiss.dbeaver.ui.app.standalone.DBeaverApplication",49,23,3,43
"org.jkiss.dbeaver.model.virtual.DBVEntity",14,7,29,19
"org.jkiss.dbeaver.registry.BaseWorkspaceImpl",27,20,3,35
"org.jkiss.dbeaver.ext.mysql.model.MySQLTable",26,17,7,27
"org.jkiss.dbeaver.ext.postgresql.model.PostgreProcedure",26,15,14,29
"org.jkiss.dbeaver.ui.controls.resultset.colors.ColorSettingsDialog",44,21,1,26
"org.jkiss.dbeaver.model.impl.jdbc.exec.JDBCPreparedStatementImpl",24,13,4,23
"org.jkiss.dbeaver.tools.transfer.DataTransferSettings",27,23,6,32
"org.jkiss.dbeaver.ext.postgresql.PostgreUtils",34,24,36,36
"org.jkiss.dbeaver.ui.controls.resultset.FilterSettingsDialog",32,12,1,26
"org.jkiss.dbeaver.ui.controls.resultset.valuefilter.GenericFilterValueEdit",39,18,2,27
"org.jkiss.dbeaver.ext.oracle.model.OracleDataType",28,14,7,24
"org.jkiss.dbeaver.ui.gis.panel.GISLeafletViewer",52,26,2,40
"org.jkiss.dbeaver.ext.db2.model.DB2DataSource",47,35,30,44
"org.jkiss.dbeaver.registry.ProjectMetadata",29,13,3,25
"org.jkiss.dbeaver.ui.views.session.SessionManagerViewer",59,29,6,42
"org.jkiss.dbeaver.ext.db2.model.DB2Schema",34,17,41,25
"org.jkiss.dbeaver.model.impl.jdbc.exec.JDBCVoidStatementImpl",7,0,1,1
"org.jkiss.dbeaver.erd.ui.model.DiagramLoader",34,15,4,27
"org.jkiss.dbeaver.ui.controls.ProgressPageControl",32,6,13,14
"org.jkiss.dbeaver.ext.oracle.model.OracleSchedulerJob",24,15,3,22
"org.jkiss.dbeaver.registry.DataSourceProviderRegistry",28,16,20,25
"org.jkiss.dbeaver.model.sql.SQLConstants",0,0,37,0
"org.jkiss.dbeaver.registry.DataSourceProviderDescriptor",25,17,13,22
"org.jkiss.dbeaver.runtime.properties.ObjectPropertyDescriptor",27,11,10,20
"org.jkiss.dbeaver.ui.controls.resultset.handler.ResultSetHandlerMain",54,21,10,29
"org.jkiss.dbeaver.ext.greenplum.model.GreenplumExternalTableTest",19,7,0,8
"org.jkiss.dbeaver.ui.editors.data.preferences.PrefPageDataFormat",34,22,1,30
"org.jkiss.utils.xml.XMLBuilder",5,1,23,10
"org.jkiss.utils.IntKeyMap",1,0,6,18
"org.jkiss.utils.LongKeyMap",1,0,6,19
"org.jkiss.dbeaver.registry.maven.MavenArtifactVersion",19,11,2,17
"org.jkiss.dbeaver.tools.transfer.ui.wizard.DataTransferWizard",45,29,14,44
"org.jkiss.dbeaver.ui.editors.sql.indent.SQLCommentAutoIndentStrategy",7,4,1,10
"org.jkiss.dbeaver.tasks.nativetool.AbstractNativeToolHandler",31,25,3,45
"org.jkiss.dbeaver.ui.dialogs.connection.ConnectionPageGeneral",37,22,3,28
"org.jkiss.dbeaver.ui.search.metadata.SearchMetadataPage",35,17,0,24
"org.jkiss.dbeaver.ext.oracle.model.plan.OraclePlanNode",17,9,1,17
"org.jkiss.dbeaver.ext.postgresql.ui.editors.PostgresRolePrivilegesEditor",54,28,0,37
"org.jkiss.dbeaver.model.sql.format.tokenized.IndentFormatter",15,10,1,19
"org.jkiss.dbeaver.ext.generic.views.GenericConnectionPage",33,19,0,26
"org.jkiss.dbeaver.model.impl.sql.edit.SQLObjectEditor",24,15,57,36
"org.jkiss.dbeaver.ext.postgresql.model.PostgreStructureAssistant",28,20,1,25
"org.jkiss.dbeaver.ui.editors.text.FileRefDocumentProvider",25,9,3,22
"org.jkiss.utils.CommonUtilsTest",6,0,0,10
"org.jkiss.dbeaver.utils.ContentUtils",27,13,64,26
"org.jkiss.dbeaver.ui.navigator.database.StatisticsNavigatorNodeRenderer",39,22,1,30
