"type","sloc","nom","npm","wmc","dep","i-dep","fan-in","fan-out","noa","lcom3"
"org.jkiss.dbeaver.ui.controls.resultset.ResultSetViewer",4060,267,204,871,94,50,26,90,86,0.8562248644867984
"org.jkiss.dbeaver.ui.editors.sql.SQLEditor",3624,215,138,668,103,52,28,103,96,0.7928835669781932
"org.jkiss.dbeaver.ui.controls.lightgrid.LightGrid",3262,195,110,824,24,12,2,30,103,0.7371134020618557
"org.jkiss.dbeaver.ui.controls.resultset.spreadsheet.SpreadsheetPresentation",2140,125,111,588,77,33,1,69,37,0.8554925893635571
"org.jkiss.dbeaver.model.DBUtils",1864,132,131,534,40,29,493,48,2,0.9961832061068703
"org.jkiss.dbeaver.ui.UIUtils",1801,181,180,412,64,17,538,31,8,0.9805555555555555
"org.jkiss.dbeaver.ui.editors.binary.HexEditControl",1538,95,85,357,24,5,6,23,75,0.6243971631205674
"org.jkiss.dbeaver.model.impl.jdbc.exec.JDBCResultSetImpl",1409,209,203,233,18,9,4,14,8,0.9831730769230769
"org.jkiss.dbeaver.registry.DataSourceDescriptor",1334,120,113,276,54,36,30,54,41,0.836441893830703
"org.jkiss.dbeaver.ext.oracle.model.OracleSchema",1261,109,58,222,29,19,13,37,27,0.9687928669410151
"org.jkiss.dbeaver.model.sql.completion.SQLCompletionAnalyzer",1191,29,6,366,37,22,2,34,10,0.8392857142857143
"org.jkiss.dbeaver.model.impl.jdbc.exec.JDBCDatabaseMetaDataImpl",1138,179,178,183,8,3,2,6,2,0.9971910112359551
"org.jkiss.dbeaver.registry.driver.DriverDescriptor",1114,142,131,253,37,22,28,37,67,0.7730496453900709
"org.jkiss.dbeaver.ui.navigator.itemlist.ObjectListControl",1102,99,53,267,49,20,4,55,28,0.8622448979591837
"org.jkiss.dbeaver.model.sql.SQLUtils",1099,62,58,350,29,15,120,25,9,0.9562841530054645
"org.jkiss.dbeaver.tools.transfer.ui.pages.database.DatabaseConsumerPageMapping",1087,59,20,109,52,28,0,38,9,0.9310344827586207
"org.jkiss.dbeaver.ui.properties.PropertyTreeViewer",1079,76,51,222,50,19,16,42,28,0.82
"org.jkiss.dbeaver.ui.controls.querylog.QueryLogViewer",1050,74,43,157,62,26,5,45,48,0.7431506849315068
"org.jkiss.dbeaver.ui.editors.entity.EntityEditor",1044,54,40,206,64,36,15,58,20,0.8245283018867925
"org.jkiss.dbeaver.erd.ui.editor.ERDEditorPart",1033,96,65,197,92,43,23,66,23,0.8842105263157894
"org.jkiss.dbeaver.ext.postgresql.model.PostgreDatabase",1029,125,93,209,30,21,34,50,30,0.9239247311827957
"org.jkiss.dbeaver.ui.controls.resultset.ResultSetFilterPanel",1018,67,41,150,56,27,1,44,41,0.7121212121212122
"org.jkiss.dbeaver.model.impl.jdbc.exec.JDBCCallableStatementImpl",1014,127,119,177,31,19,1,31,4,0.9880952380952381
"org.jkiss.dbeaver.ext.ui.svg.GraphicsToGraphics2DAdaptor",962,89,70,152,18,0,1,17,32,0.8391335227272727
"org.jkiss.dbeaver.ext.postgresql.model.PostgreSchema",940,89,60,159,35,23,31,44,16,0.9147727272727273
"org.jkiss.dbeaver.registry.DataSourceSerializerModern",914,16,3,141,39,26,2,37,17,0.4666666666666667
"org.jkiss.dbeaver.ext.mysql.model.MySQLCatalog",906,90,65,247,38,26,25,44,21,0.9443552701979668
"org.jkiss.dbeaver.ui.controls.resultset.ResultSetPersister",901,50,33,206,27,16,1,28,33,0.6883116883116883
"org.jkiss.dbeaver.ext.postgresql.model.PostgreDataType",894,67,61,212,29,18,22,30,40,0.7045454545454546
"org.jkiss.dbeaver.ui.editors.object.struct.EditForeignKeyPage",894,60,32,153,39,17,12,28,34,0.7402791625124625
"org.jkiss.dbeaver.ui.controls.resultset.ResultSetModel",887,67,60,233,23,14,3,20,24,0.841540404040404
"org.jkiss.dbeaver.ui.controls.CSmartCombo",850,47,34,185,15,3,8,9,17,0.8260869565217391
"org.jkiss.dbeaver.ui.data.dialogs.ComplexObjectEditor",834,61,49,145,57,27,1,47,38,0.755701754385965
"org.jkiss.dbeaver.tasks.ui.view.DatabaseTasksTree",813,72,43,138,39,21,2,36,20,0.9330985915492958
"org.jkiss.dbeaver.ext.oracle.model.OracleDataSource",809,72,47,154,39,24,18,47,19,0.9503335804299481
"org.jkiss.dbeaver.model.impl.jdbc.exec.JDBCResultSetCallable",808,204,200,205,19,9,1,14,1,1.0
"org.jkiss.dbeaver.model.navigator.DBNDatabaseNode",808,52,39,231,29,20,92,39,8,0.9338235294117647
"org.jkiss.dbeaver.ui.dialogs.driver.DriverEditDialog",799,55,29,118,43,25,6,33,34,0.6944444444444444
"org.jkiss.utils.CommonUtils",797,94,94,253,5,0,1064,38,2,0.9946236559139785
"org.jkiss.dbeaver.ext.mssql.model.SQLServerSchema",794,77,52,163,33,21,5,38,15,0.9482456140350877
"org.jkiss.dbeaver.ext.generic.model.GenericDataSource",771,94,81,201,37,22,41,40,16,0.9193548387096774
"org.jkiss.dbeaver.registry.DataSourceRegistry",760,66,52,167,34,21,15,29,22,0.8384615384615385
"org.jkiss.dbeaver.ext.exasol.model.ExasolDataSource",756,85,80,129,47,33,29,48,19,0.9091478696741854
"org.jkiss.dbeaver.ui.navigator.database.DatabaseNavigatorTree",746,65,40,159,54,24,18,38,22,0.8359375
"org.jkiss.dbeaver.model.exec.DBExecUtils",736,26,23,207,46,36,33,43,5,0.9440000000000001
"org.jkiss.dbeaver.ext.postgresql.model.PostgreDialect",731,26,24,46,33,23,9,27,31,0.9587096774193549
"org.jkiss.dbeaver.ui.editors.sql.execute.SQLQueryJob",725,31,16,136,49,28,1,34,26,0.6397435897435898
"org.jkiss.dbeaver.ui.editors.binary.BinaryContent",724,54,36,206,10,1,3,21,17,0.8712541620421754
"org.jkiss.dbeaver.ui.controls.CustomSashForm",722,55,35,128,12,0,5,3,23,0.7962962962962963
"org.jkiss.dbeaver.ext.mysql.model.MySQLDataSource",716,64,52,147,46,31,16,45,16,0.8968253968253969
"org.jkiss.dbeaver.ui.controls.ViewerColumnController",716,53,36,129,27,7,15,20,28,0.7403846153846154
"org.jkiss.dbeaver.model.impl.jdbc.struct.JDBCTable",713,32,18,144,34,21,16,36,4,0.9516129032258065
